"대륙별(1)",대륙별(2),2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025
"대륙별(1)",대륙별(2),합계,공항,공항,공항,공항,공항,공항,항구,항구,항구,항구,항구
"대륙별(1)",대륙별(2),소계,소계,인천,김해,김포,제주,기타,소계,부산,인천,제주,기타
"합계",소계,18936562,16784753,12391887,1567990,1222327,1373877,228672,2151809,511732,243979,281909,1114189
"합계",아시아,15241754,13424207,9376894,1419215,1074799,1342479,210820,1817547,341655,224502,239774,1011616
"합계",미주,1961397,1842095,1675252,66338,74457,13856,12192,119302,69349,5699,22810,21444
"합계",구주,1315545,1149671,1010890,64198,57985,12692,3906,165874,72120,10524,11816,71414
"합계",대양주,315069,284302,256793,12770,10333,3512,894,30767,19815,1648,4893,4411
"합계",아프리카주,76694,58727,54845,2437,708,441,296,17967,8551,1602,2611,5203
"합계",교포,25838,25594,17065,3024,4045,896,564,244,230,2,1,11
"합계",기타,265,157,148,8,-,1,-,108,12,2,4,90
