"자치구별(1)",자치구별(2),2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024
"자치구별(1)",자치구별(2),합계 (개),합계 (개),합계 (개),합계 (개),합계 (개),합계 (개),합계 (개),합계 (개),합계 (개),합계 (개),합계 (개),합계 (개),합계 (개),합계 (개),합계 (개),합계 (개),합계 (개),합계 (개),합계 (개),합계 (개),합계 (개),합계 (개),객실이용률 (%),객실이용률 (%),객실이용률 (%),객실이용률 (%),객실이용률 (%),객실이용률 (%),객실이용률 (%),객실이용률 (%),객실이용률 (%),수입실적 (백만원),수입실적 (백만원),수입실적 (백만원)
"자치구별(1)",자치구별(2),호텔수,객실수,5성급(특1등급),5성급(특1등급),4성급(특2등급),4성급(특2등급),3성급(1등급),3성급(1등급),2성급(2등급),2성급(2등급),1성급(3등급),1성급(3등급),등급미정,등급미정,가족호텔,가족호텔,호스텔,호스텔,소형호텔,소형호텔,휴양콘도미니엄업,휴양콘도미니엄업,5성급(특1급),4성급(특2급),3성급(1등급),2성급(2등급),1성급(3등급),등급미정,가족호텔,호스텔,소형호텔,소계,객실,부대시설
"자치구별(1)",자치구별(2),소계,소계,호텔수,객실수,호텔수,객실수,호텔수,객실수,호텔수,객실수,호텔수,객실수,호텔수,객실수,호텔수,객실수,호텔수,객실수,호텔수,객실수,호텔수,객실수,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계
"서울시",소계,482,60708,26,10615,47,13077,90,16459,86,6900,26,1322,40,4682,18,2909,139,4182,9,228,1,334,75.0,78.5,83.2,81.1,72.1,77.6,-,63.3,-,3926164,2352384,1573780
"서울시",종로구,49,4218,2,487,3,783,7,1295,12,884,1,50,1,30,1,213,22,476,-,-,-,-,72.6,80.7,74.8,82.3,-,-,-,73.2,-,279551,184627,94924
"서울시",중구,110,17926,6,2921,16,5127,34,6035,10,1486,1,86,5,564,5,1024,32,659,1,24,-,-,73.8,82.3,83.5,88.1,-,63.0,-,60.8,-,1314313,817494,496818
"서울시",용산구,17,3785,3,1538,3,1207,2,294,1,100,1,30,1,71,2,482,3,42,1,21,-,-,73.4,71.9,81.7,83.2,-,-,-,94.9,-,332305,165097,167208
"서울시",성동구,5,205,-,-,-,-,-,-,-,-,2,100,1,56,-,-,2,49,-,-,-,-,-,-,-,-,-,-,-,69.7,-,280,280,-
"서울시",광진구,15,1536,1,783,1,84,-,-,4,333,4,251,-,-,-,-,4,62,1,23,-,-,70.6,87.5,-,-,89.5,-,-,-,-,253774,75364,178411
"서울시",동대문구,10,1005,-,-,-,-,3,634,2,171,1,34,1,46,-,-,3,120,-,-,-,-,-,-,90.5,55.0,-,-,-,62.5,-,17244,16882,362
"서울시",중랑구,3,177,-,-,-,-,-,-,1,60,-,-,1,49,1,68,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"서울시",성북구,4,327,-,-,-,-,1,190,2,84,1,53,-,-,-,-,-,-,-,-,-,-,-,-,-,97.2,-,-,-,-,-,1350,1350,-
"서울시",강북구,7,736,-,-,-,-,-,-,2,128,-,-,2,142,-,-,2,132,-,-,1,334,-,-,-,65.7,-,-,-,60.0,-,1124,1124,-
"서울시",도봉구,3,156,-,-,-,-,-,-,1,72,-,-,1,60,-,-,1,24,-,-,-,-,-,-,-,84.3,-,-,-,-,-,2673,2556,117
"서울시",노원구,1,93,-,-,-,-,-,-,-,-,-,-,1,93,-,-,-,-,-,-,-,-,-,-,-,80.9,-,-,-,-,-,1473,1473,-
"서울시",은평구,11,483,-,-,-,-,-,-,6,332,1,30,1,49,-,-,2,52,1,20,-,-,-,-,-,83.3,74.8,61.1,-,-,-,5518,5516,2
"서울시",서대문구,15,1219,-,-,1,503,1,319,-,-,3,139,1,31,1,50,8,177,-,-,-,-,-,37.1,86.5,-,68.1,-,-,75.9,-,40200,25763,14437
"서울시",마포구,23,4354,1,196,6,1651,6,1466,2,135,1,40,4,798,-,-,3,68,-,-,-,-,64.4,85.4,91.3,101.5,-,84.8,-,89.9,-,266508,228219,38289
"서울시",양천구,1,50,-,-,-,-,-,-,1,50,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
